tvec_x_error;tvec_y_error;tvec_z_error;rvec_x_error;rvec_y_error;rvec_z_error
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
4.08632;-31.9247;136.313;0.196521;-0.0933327;-3.13867
3.61454;-30.5913;134.915;0.297244;-0.238832;-3.13258
3.60321;-29.7964;135.332;0.25258;-0.150713;-3.13554
3.57336;-28.8122;134.843;0.298952;-0.170769;-3.13015
3.5921;-28.183;135.015;0.306622;-0.145688;-3.12905
3.65817;-27.8437;135.561;0.284449;-0.219723;-3.13383
3.83108;-27.7108;135.824;0.274991;-0.124121;-3.13085
3.95333;-27.4776;134.97;0.320245;-0.145221;-3.12813
4.19125;-27.5798;136.342;0.209221;-0.164393;-3.13693
4.35029;-27.3008;134.285;0.351741;-0.20372;-3.12476
4.64689;-27.4885;135.213;0.264011;-0.139338;-3.13206
4.88043;-27.3585;134.049;0.352344;-0.106442;-3.10997
5.2006;-27.504;134.421;0.293959;-0.166822;-3.13222
5.48459;-27.61;135.344;0.239572;-0.259972;-3.13631
5.55276;-27.3856;133.85;0.246127;-0.101078;-3.12208
6.02092;-27.4011;136.126;0.0777194;-0.188305;-3.139
6.35492;-27.1241;133.688;0.233666;-0.178621;-3.13648
6.56157;-27.0668;133.513;0.201054;-0.13433;-3.13441
6.78378;-26.8869;132.831;0.222905;-0.216313;-3.13744
7.0242;-26.7682;132.738;0.186519;-0.127443;-3.13881
7.20518;-26.366;131.596;0.238295;-0.0700577;-3.13028
7.32239;-25.9828;130.559;0.309407;-0.109909;-3.12514
7.73606;-25.8605;132.285;0.170025;-0.155252;-3.14165
7.95457;-25.2507;131.23;0.209492;-0.207925;-3.14079
8.09026;-24.7185;130.093;0.287066;-0.146515;-3.12402
8.41161;-24.4446;130.811;0.225203;-0.185846;-3.1335
8.62303;-23.9783;130.199;0.285025;-0.157523;-3.12501
8.9221;-23.851;130.911;0.234369;-0.1519;-3.13033
8.93023;-23.6191;130.213;0.252031;-0.0619807;-3.12041
9.22402;-23.6629;130.608;0.259368;-0.156752;-3.13264
9.43623;-23.5573;130.533;0.289804;-0.107206;-3.13022
9.6616;-23.7551;131.801;0.189042;-0.141976;-3.13962
9.75697;-23.6904;131.432;0.208725;-0.107162;-3.13443
9.85789;-23.6261;131.119;0.236359;-0.16201;-3.13861
9.96796;-23.7511;131.913;0.196394;-0.0947099;-3.13527
9.9522;-23.7125;131.397;0.274016;-0.154085;-3.12863
