tvec_x;tvec_y;tvec_z;rvec_x;rvec_y;rvec_z
-35.754;-15.6663;77.0324;-0.565571;-0.0540288;0.164076
-35.8698;-15.4144;77.2725;-0.500599;0.0445727;0.13748
-35.2963;-14.6733;76.1909;-0.5923;-0.181508;0.178706
-35.6054;-14.1251;77.1442;-0.491743;-0.0909811;0.141866
-35.5772;-13.1902;77.7493;-0.409504;-0.160894;0.123199
-35.1638;-12.1532;76.8941;-0.46704;0.0949996;0.102688
-35.0528;-10.9516;77.4583;-0.400896;-0.0781302;0.0984116
-34.8829;-9.67681;77.3625;-0.528687;-0.0901963;0.120912
-34.6602;-8.46667;77.2356;-0.47919;0.00307415;0.0965839
-34.0046;-7.32326;75.7866;-0.636104;0.183623;0.109338
-34.3891;-6.2973;76.9753;-0.527422;-0.0359636;0.106403
-33.9872;-5.31287;76.0225;-0.568824;-0.054021;0.122715
-33.6612;-4.20938;75.3452;-0.666383;-0.0736574;0.142664
-33.9081;-3.24331;76.1652;-0.489266;-0.328426;0.166966
-33.4268;-2.19504;74.7407;-0.532321;0.0769726;0.108389
-33.9095;-1.29721;75.4007;-0.572928;-0.200738;0.163914
-34.1585;-0.294179;76.0598;-0.414492;-0.132272;0.136276
-34.1056;0.257132;75.4105;-0.483676;-0.415357;0.189559
-33.4544;0.448772;73.4671;-0.65512;-0.127696;0.147235
-33.8751;1.08434;73.8292;-0.535085;-0.277829;0.164471
-33.646;1.44112;73.1836;-0.542962;-0.198786;0.15431
-33.8925;1.71248;73.4673;-0.454146;-0.0651304;0.122622
-33.8542;2.39588;73.1041;-0.395438;-0.0989141;0.132757
-33.4434;2.92783;72.3288;-0.547702;-0.200482;0.165718
-33.8899;3.50044;73.0292;-0.430979;-0.265042;0.164532
-33.7637;4.08535;72.6769;-0.469297;-0.110848;0.148234
-33.4433;4.18544;71.1658;-0.545932;-0.145643;0.164805
-34.6347;4.72347;73.9268;-0.407905;-0.34842;0.177179
-34.3845;4.91769;72.5553;-0.44702;-0.199367;0.160879
-34.3404;5.07554;72.2835;-0.531586;-0.428633;0.223811
-33.8027;5.1573;70.0029;-0.67496;-0.0440217;0.177247
-34.358;5.30291;72.2017;-0.546503;-0.255213;0.172189
-34.2309;5.49452;71.9142;-0.581436;-0.135326;0.145482
-34.1431;5.48947;72.1831;-0.611739;-0.234891;0.164179
-34.7244;5.47249;73.4559;-0.526045;-0.334627;0.161234
-34.2547;5.36815;73.8151;-0.526505;-0.195009;0.1269
-33.4899;4.99204;72.0005;-0.472596;0.0849662;0.0879709
-33.2142;4.55453;72.6842;-0.547317;0.0474896;0.0940001
-31.7761;3.82665;69.6029;-0.732161;0.112096;0.121456
-33.3698;3.83391;74.3365;-0.490519;-0.160886;0.119876
-32.6518;3.10857;73.692;-0.558876;-0.126815;0.127257
-31.9975;2.45589;73.1085;-0.515874;0.110324;0.10216
-31.7948;1.97859;74.4549;-0.484648;-0.219916;0.131386
-30.9141;1.29764;73.973;-0.538572;0.0185522;0.107735
-29.7213;0.693867;72.6744;-0.401143;0.0971455;0.0732147
-29.2247;0.156771;73.5437;-0.539659;-0.0532785;0.100598
-28.1811;-0.194396;73.9917;-0.603362;-0.33592;0.151978
-26.6752;-0.800373;72.2012;-0.590253;-0.00674023;0.0927095
-26.2069;-0.695879;74.2703;-0.529415;-0.115154;0.0963665
-24.5026;-1.13367;72.1667;-0.58772;-0.00708972;0.0967031
-23.5684;-1.23885;73.1372;-0.515273;-0.0945828;0.0886905
-21.9673;-1.37707;71.82;-0.611721;-0.117761;0.108121
-20.6155;-1.34752;71.2993;-0.594682;0.00737283;0.10792
-18.9715;-1.45488;70.265;-0.619301;0.081011;0.10824
-18.1272;-1.5538;71.1327;-0.617317;-0.177866;0.126548
-17.2649;-1.538;71.0793;-0.605114;-0.115192;0.135189
-16.0874;-1.54245;70.971;-0.556116;-0.0495726;0.120421
-15.2497;-1.40211;72.03;-0.496974;-0.15341;0.11629
-14.0061;-1.30654;70.3893;-0.593787;-0.118427;0.13086
-13.1946;-1.06033;72.8687;-0.4194;-0.140826;0.101595
-12.0471;-0.86418;70.7166;-0.574871;-0.190938;0.117954
-11.0932;-0.773361;70.024;-0.561283;-0.212146;0.11068
-10.3527;-0.734007;70.0744;-0.5451;-0.0817338;0.0933165
-9.57532;-0.613076;71.0963;-0.504152;-0.150306;0.0840277
-8.75132;-0.567092;72.0018;-0.378373;-0.0407117;0.0630732
-7.9289;-0.44636;69.6958;-0.462389;-0.00458754;0.0721776
-7.01554;-0.490787;69.216;-0.508568;-0.0035503;0.0813312
-6.51187;-0.434148;69.584;-0.414828;0.0252114;0.0838392
-5.59182;-0.366791;70.5369;-0.402097;-0.130984;0.0845188
-4.94616;-0.321959;70.8147;-0.383391;-0.216166;0.0853381
-4.4302;-0.482975;69.6526;-0.443868;-0.155529;0.0949064
-3.72694;-0.433893;71.8917;-0.295944;-0.242612;0.0780919
